,未流失,流失,差异,差异百分比
Membership_Years,2.98,2.98,-0.0,-0.09
Login_Frequency,12.64,9.12,-3.52,-27.86
Session_Duration_Avg,29.21,23.69,-5.52,-18.9
Total_Purchases,13.83,11.35,-2.48,-17.92
Days_Since_Last_purchase,26.89,36.94,10.05,37.37
Average_Order_Value,118.38,134.76,16.38,13.84
Cart_Abandonment_Rate,54.19,64.18,9.98,18.42
Customer_Service_calls,5.19,6.9,1.72,33.15
Returns_Rate,6.47,7.2,0.74,11.36
Discount_Usage_Rate,43.05,39.42,-3.63,-8.43
Product_Reviews_Written,3.12,2.19,-0.93,-29.85
